100000351,Tornio På Gränsen Rajala,65.843294,24.145138,,7329836,1880074
100000831,Tornio linja-autoasema,65.841595,24.143679,2583,6580982,1628235
740000001,Stockholm Centralstation,59.330140,18.058155,0180,6404691,1271655
740000002,Göteborg Centralstation,57.708895,11.973479,1480,6168020,1323293
740000003,Malmö Centralstation,55.609458,13.000913,1280,6308706,1423897
740000004,Alvesta station,56.898781,14.556319,0764,6639113,1603155
740000005,Uppsala Centralstation,59.858534,17.646086,0380,6227376,1373116
740000006,Hässleholm Centralstation,56.157760,13.763139,1293,6497167,1521989
740000007,Norrköping Centralstation,58.596627,16.183347,0581,6475848,1385843
740000008,Skövde Centralstation,58.390897,13.853194,1496,6477071,1489467
740000009,Linköping Centralstation,58.416635,15.624963,0580,6196868,1329802
740000011,Teckomatorp station,55.870590,13.086124,1214,6475731,1300277
740000012,Vargön station,58.359221,12.392534,1487,6445667,1265184
740000014,Stenungsund station,58.072592,11.824760,1415,6452467,1455829
740000015,Boxholm station,58.193654,15.054149,0560,6463252,1332534
740000016,Vara station,58.260825,12.951876,1470,6220547,1479124
740000017,Hasslö Fabian Månsons väg,56.112856,15.469684,1080,6427202,1306126
740000018,Alingsås station,57.926861,12.532494,1489,6735491,1456256
740000019,Leksand station,60.733992,15.003328,2029,6281700,1534024
740000020,Kalmar Centralstation,56.661282,16.360067,0880,6325438,1336072
740000021,Kinnared station,57.026158,13.105522,1315,6225728,1350300
740000022,Perstorp station,56.136360,13.397194,1275,6560349,1334664
740000023,Säffle station,59.132229,12.916875,1785,6661548,1485075
740000024,Söderbärke station,60.072478,15.537072,2061,7028360,1314322
740000025,Storlien station,63.316083,12.099118,2321,6692048,1497346
740000026,Säter station,60.346490,15.757055,2082,6613813,1616025
740000027,Märsta station,59.628181,17.861620,0191,6145956,1374606
740000028,Ystad station,55.427317,13.824574,1286,6253084,1408319
740000029,Lönsboda busstation,56.396629,14.320530,1273,6720671,1491044
740000030,Falun Centralstation,60.603289,15.641625,2080,6568278,1622236
740000031,Flemingsberg station,59.217958,17.945683,0126,6959957,1480174
740000032,Bräcke station,62.750053,15.417085,2305,6289752,1480145
740000033,Eriksmåla,56.734398,15.480831,0862,6397778,1420621
740000034,Forserum station,57.697835,14.473974,0682,6476092,1369552
740000035,Axvall centrum,58.388538,13.574720,1495,6448833,1354535
740000036,Floby station,58.139308,13.335301,1499,7027734,1336371
740000037,Ånn station,63.321229,12.538907,2321,6425833,1249980
740000038,Marstrand färjeläge,57.886695,11.588768,1482,6513655,1306400
740000039,Mellerud station,58.701861,12.464744,1461,6442861,1335770
740000040,Herrljunga station,58.079187,13.021275,1466,6435182,1450962
740000041,Tranås station,58.037967,14.975025,0687,6683983,1509695
740000042,Hedemora station,60.274000,15.980318,2083,7007204,1573550
740000043,Sollefteå station,63.166988,17.264907,2283,6217244,1306154
740000044,Helsingborg Centralstation,56.044404,12.694262,1283,6270578,1397405
740000045,Älmhult station,56.551426,14.136985,0765,6627860,1522646
740000046,Ramnäs station,59.769763,16.208185,1907,6645720,1303657
740000048,Charlottenberg station,59.883972,12.297648,1730,6563463,1605275
740000049,Södertälje hamn station,59.179302,17.646538,0181,6515433,1568855
740000050,Nyköping Centralstation,58.755685,16.994784,0480,6756033,1435557
740000051,Sollerön centrum,60.915499,14.617197,2062,6341417,1393008
740000052,Värnamo station,57.186284,14.035723,0683,7193180,1744710
740000053,Skellefteå busstation,64.753594,20.949227,2482,6503141,1251735
740000054,Hällevadsholm station,58.579860,11.535763,1430,6561580,1605260
740000055,Södertälje Syd station,59.162411,17.645368,0181,6533504,1237670
740000056,Överby station,58.843340,11.259379,1486,6280403,1324520
740000057,Trönninge,56.618004,12.946502,1380,6267347,1327250
740000058,Laholm station,56.501909,12.999604,1381,7593374,1618374
740000059,Björkliden station,68.406593,18.686674,2584,6452479,1367537
740000060,Falköping Centralstation,58.176101,13.553794,1499,6668698,1477810
740000062,Smedjebacken station,60.136321,15.405814,2061,7024787,1326085
740000063,Enafors station,63.289992,12.337211,2321,6239153,1317073
740000064,Ängelholm station,56.245202,12.854194,1292,6497377,1253892
740000065,Dingle station,58.529479,11.578971,1430,6427715,1278216
740000066,Nol station,57.918462,12.061958,1440,6570505,1577726
740000067,Läggesta station,59.248426,17.167374,0486,6231099,1467586
740000069,Ronneby station,56.206976,15.282939,1081,6586431,1368925
740000070,Karlstad Centralstation,59.378102,13.498992,1780,6528705,1415108
740000071,Gårdsjö station,58.871916,14.333548,1447,6614562,1572356
740000072,Enköping station,59.644750,17.088163,0381,6227980,1441791
740000073,Karlshamn station,56.176511,14.868018,1082,7220306,1630293
740000074,Kristineberg,65.060466,18.573732,2481,6542397,1238420
740000075,Skee station,58.923379,11.261880,1486,6551359,1321704
