Kommunkod|Tätortskod|Tätortsbeteckning|lat|lng
0114|T0236|Löwenströmska lasarettet|59.54102515573527|17.91462466683398
0115|T0116|Brottby|59.56304720730739|18.241257877990563
0115|T0146|Ekskogen|59.6393891861686|18.225282242724095
0115|T0142|Ekskogen, Älgeby och Långsjötorp|59.61085407676614|18.36988665137955
0115|T0202|Johannesudd|59.55207526276661|18.03173624326983
0115|T0208|Karby|59.56087457067137|18.22006480027767
0115|T0224|Kårsta|59.65478278844153|18.269912721634686
0115|T0232|Lindholmen|59.58730456918086|18.106287602679824
0115|T0388|Vallentuna|59.50121345993978|18.082475588461392
0117|T0102|Bammarboda|59.50737738730603|18.46794005075688
0117|T0270|Laggarsvik och Linanäs|59.482880823465|18.523505165890104
0117|T0334|Nolsjö och Mellansjö|59.52627963431641|18.62621602508314
0117|T0306|Nyhagen och Översättra|59.49568606875637|18.378697664794455
0117|T0292|Rydbo|59.46173754775429|18.1865043180182
0117|T0302|Solberga|59.49519511496947|18.35625460920159
0117|T0448|Spånlöt|59.49489032095991|18.314336145905912
0117|T0326|Stava|59.4998802961612|18.220098224922104
0117|T0350|Svinninge|59.44300560560145|18.275584085547045
0117|T0290|Täljö|59.470288288885605|18.245801493737577
0117|T0408|Åkersberga|59.48709342056487|18.286076863990623
0120|T0118|Grönskan, Vedhamn och Baldersnäs|59.235441335019786|18.473084686398817
0120|T0122|Betsede|59.32890929090002|18.43001951180224
0120|T0120|Brunn|59.28139606843408|18.427745733397124
0120|T0136|Djurö|59.313329616374126|18.70306069609668
0120|T0166|Fågelvikshöjden|59.26035065868602|18.414939612047444
0120|T0172|Gustavsberg|59.31499439269824|18.43893678571046
0120|T0214|Kopparmora|59.337657971495084|18.585711890824975
0120|T0314|Lugnet och Skälsmara|59.24219985813071|18.530161165467646
0120|T0234|Långvik|59.22201068278281|18.518271713415718
0120|T0198|Norra Ingaröstrand och Skälsmara|59.28152135291679|18.487618186159185
0120|T0250|Norra Lagnö|59.35391723614974|18.40624779477438
0120|T0370|Koviksudde och Skeviksstrand|59.358200626543706|18.356877084215164
0120|T0324|Stavsnäs|59.268735127758355|18.678001644740412
0120|T0342|Strömma|59.29245262495206|18.51295005213861
0120|T0438|Älvsala|59.30397434651748|18.635070207907695
0120|T0418|Ängsvik|59.35880043346081|18.514424420281998
0120|T0440|Norra Vindö|59.36336100170917|18.6608495902618
0125|T0140|Drottningholm|59.324493146643846|17.8874005092364
0125|T0150|Ekerö|59.274441755912534|17.799874385654118
0125|T0151|Ekerö sommarstad|59.27600615577091|17.731340807521676
0125|T0210|Hilleshögby|59.38871631523179|17.70368218974983
0125|T0218|Kungsberga|59.40483792404247|17.629262712426893
0125|T0230|Lilla Stenby|59.38459490421053|17.520073657832548
0125|T0246|Lurudden|59.27591942128861|17.704087312888017
0125|T0182|Parksidan och Solsidan|59.27924732143598|17.853312657621295
0125|T0328|Stenhamra|59.334403569379226|17.688424601570755
